time_sec	time_nanosec	x_mocap_0	x_mocap_1	x_mocap_2	x_mocap_3	error	latency
1612179013	523683583	-0.0444611	0.768671	0.120114	-0.0377204	0.000183349	1.3373
1612179013	533714076	-0.0443788	0.768692	0.120127	-0.0375544	0.000179854	1.4215
1612179013	543614864	-0.0444739	0.76865	0.12004	-0.0375878	0.000182604	1.5627
1612179013	553717264	-0.0444121	0.7687	0.120181	-0.0376661	0.000181591	1.2678
1612179013	563559345	-0.044328	0.768723	0.12019	-0.0375132	0.000178201	1.2641
1612179013	573742628	-0.044433	0.768669	0.120092	-0.0375606	0.000181285	1.462
1612179013	583724216	-0.044543	0.768618	0.119991	-0.0377262	0.00018559	1.4502
1612179013	593774614	-0.0444679	0.768648	0.120021	-0.0376045	0.000182623	1.6421
1612179013	603484500	-0.0443943	0.76871	0.120167	-0.0376922	0.00018141	1.2818
1612179013	613539753	-0.0443737	0.768756	0.120516	-0.037354	0.000177769	1.4608
1612179013	623562787	-0.0444474	0.768681	0.120119	-0.0376083	0.000182041	1.8585
1612179013	633463441	-0.0444296	0.768687	0.120172	-0.0376715	0.000182068	1.309
1612179013	643574296	-0.0444916	0.768635	0.120003	-0.0375677	0.000182916	1.2578
1612179013	653848403	-0.0444041	0.7687	0.12018	-0.0376205	0.000180999	1.2657
1612179013	663520329	-0.0444027	0.768694	0.120109	-0.0376279	0.000181118	1.3884
1612179013	673598460	-0.0444088	0.768705	0.120152	-0.0376947	0.000181815	1.1947
1612179013	683477539	-0.0444367	0.76869	0.120149	-0.0376223	0.000181865	1.2137
1612179013	693455699	-0.0445419	0.768625	0.119992	-0.0376545	0.000184948	0.9637
1612179013	703986266	-0.0443937	0.768738	0.120494	-0.0372364	0.000177314	1.1795
1612179013	713455929	-0.0445114	0.76864	0.120049	-0.037669	0.000184225	1.1456
1612179013	723453623	-0.0443977	0.768706	0.120191	-0.0376257	0.000180879	1.2106
1612179013	733580891	-0.0445367	0.768604	0.119962	-0.0375915	0.000184285	0.9893
1612179013	743600515	-0.044417	0.768675	0.120101	-0.037497	0.000180341	1.1584
1612179013	753445015	-0.0443764	0.768718	0.120192	-0.0376375	0.000180465	1.1522
1612179013	763574805	-0.0444984	0.768644	0.120059	-0.0376114	0.000183386	1.5721
1612179013	773562278	-0.0444601	0.768678	0.120355	-0.0372754	0.000179304	1.3865
1612179013	783472357	-0.0443881	0.76874	0.120486	-0.0372944	0.000177643	1.6399
1612179013	793767155	-0.0444296	0.768668	0.120098	-0.0375411	0.000181023	1.5453
1612179013	803736335	-0.0444529	0.76868	0.120101	-0.0375129	0.000181397	1.4478
1612179013	813475544	-0.0443761	0.768715	0.120203	-0.0376553	0.000180591	1.4888
1612179013	823604931	-0.0445118	0.768654	0.120313	-0.0373241	0.000181008	1.819
1612179013	833451358	-0.0444778	0.76866	0.120097	-0.0375577	0.000182373	1.6759
1612179013	843573887	-0.044558	0.768604	0.119911	-0.0376012	0.00018501	1.4372
1612179013	853628642	-0.0444001	0.768677	0.120109	-0.0375764	0.000180574	1.4162
1612179013	863479829	-0.0444583	0.76865	0.12004	-0.0375091	0.00018154	1.4483
1612179013	873515919	-0.0443733	0.76873	0.120238	-0.0375915	0.000179957	1.4683
1612179013	883636612	-0.0444119	0.768684	0.120112	-0.0376754	0.000181737	1.4359
1612179013	893566526	-0.0443902	0.768703	0.120154	-0.0376902	0.000181294	1.5238
1612179013	903657058	-0.0444136	0.768685	0.120085	-0.0375495	0.000180742	1.4706
1612179013	913577254	-0.0444514	0.768664	0.120046	-0.0375782	0.000181967	1.5267
1612179013	923538579	-0.0443823	0.768701	0.120159	-0.0375729	0.00018007	1.4902
1612179013	933529976	-0.0444325	0.76868	0.120096	-0.0375458	0.000181166	1.423
1612179013	943523297	-0.0443871	0.768725	0.120212	-0.0377255	0.000181494	1.4178
1612179013	953850105	-0.0443395	0.768731	0.12022	-0.0375949	0.000179158	1.3355
1612179013	963504055	-0.0443844	0.768736	0.120475	-0.0372232	0.000176986	1.4511
1612179013	973530551	-0.0444284	0.76867	0.120081	-0.0375334	0.000180959	1.5043
1612179013	983572613	-0.0443848	0.768698	0.120138	-0.0374833	0.000179403	1.3326
1612179013	993615464	-0.0445199	0.768615	0.119964	-0.0375416	0.000183448	1.3503
1612179014	3806560	-0.0444142	0.768681	0.120119	-0.0376514	0.000181568	1.3027
1612179014	13578460	-0.0444513	0.768675	0.120073	-0.0375853	0.000182006	1.5264
1612179014	23582018	-0.0444734	0.768641	0.120021	-0.0375429	0.000182222	1.0183
1612179014	33430835	-0.0444664	0.768631	0.12	-0.0375589	0.000182195	1.3248
1612179014	43541497	-0.0444197	0.768671	0.120098	-0.037634	0.00018157	1.3763
1612179014	53916413	-0.044481	0.76865	0.120044	-0.0376182	0.000183039	1.5069
1612179014	63619764	-0.0444832	0.768631	0.119991	-0.0376243	0.0001832	1.4645
1612179014	73613391	-0.0444952	0.768656	0.120028	-0.0376115	0.000183383	1.537
1612179014	83469602	-0.0444378	0.768697	0.120401	-0.0373068	0.000178981	1.5433
1612179014	93488539	-0.0444371	0.768663	0.120078	-0.0376183	0.000181891	1.5719
1612179014	103932979	-0.0444463	0.768719	0.120475	-0.0373737	0.000179721	1.4239
1612179014	113539745	-0.0443786	0.768713	0.120192	-0.0375625	0.00017987	1.4043
1612179014	123531492	-0.044376	0.768724	0.120198	-0.0376786	0.000180819	1.5548
