time_sec	time_nanosec	ang_ots_0	ang_ots_1	ang_ots_2	ang_ots_3	ang_ots_4	ang_ots_5
1614784198	683084182	113.044	69.6117	62.273	43.4322	50.7709	7.33865
1614784198	692984432	113.044	69.6103	62.2716	43.4336	50.7723	7.33867
1614784198	702711193	113.044	69.6094	62.2711	43.4349	50.7732	7.33832
1614784198	712737890	113.044	69.6098	62.2715	43.4341	50.7724	7.33824
1614784198	722684254	113.043	69.6108	62.2721	43.432	50.7707	7.33867
1614784198	732741366	113.044	69.6103	62.272	43.4334	50.7717	7.33831
1614784198	742202627	113.044	69.6103	62.272	43.4334	50.7717	7.33831
1614784198	752594636	113.044	69.6113	62.2725	43.4332	50.772	7.33879
1614784198	762734012	113.044	69.6133	62.2739	43.4306	50.77	7.33938
1614784198	772719064	113.046	69.6132	62.2743	43.433	50.7719	7.33889
1614784198	782701279	113.046	69.612	62.2733	43.4338	50.7725	7.3387
1614784198	792826115	113.046	69.6123	62.2734	43.4337	50.7726	7.33891
1614784198	802663779	113.045	69.6113	62.2727	43.4337	50.7723	7.33858
1614784198	812693790	113.043	69.6122	62.2736	43.4306	50.7692	7.3386
1614784198	822853067	113.045	69.614	62.2748	43.4314	50.7705	7.33915
1614784198	832732737	113.047	69.6119	62.2735	43.4348	50.7733	7.33844
1614784198	842629903	113.044	69.6122	62.2732	43.4316	50.7706	7.339
1614784198	852786983	113.044	69.612	62.2731	43.4317	50.7705	7.33885
1614784198	862699927	113.046	69.6115	62.2729	43.4347	50.7734	7.33862
1614784198	872707899	113.044	69.6117	62.2729	43.4324	50.7712	7.33884
1614784198	882737067	113.046	69.6101	62.2715	43.4361	50.7747	7.3386
1614784198	892690593	113.046	69.6115	62.2728	43.4343	50.773	7.33873
1614784198	902659127	113.045	69.6118	62.2731	43.433	50.7718	7.33876
1614784198	912786814	113.046	69.6121	62.2734	43.4341	50.7728	7.33869
1614784198	922597280	113.045	69.6125	62.2736	43.4326	50.7715	7.33891
1614784198	932721323	113.045	69.6136	62.2745	43.4316	50.7707	7.33913
1614784198	942742350	113.045	69.6121	62.2734	43.4326	50.7713	7.33875
1614784198	952656272	113.042	69.611	62.2726	43.4313	50.7697	7.33838
1614784198	962742216	113.045	69.6133	62.2742	43.4317	50.7709	7.33915
1614784198	972916664	113.045	69.6127	62.2738	43.4322	50.7711	7.33892
1614784198	982737183	113.045	69.6124	62.2733	43.4329	50.7719	7.33904
1614784198	992216709	113.045	69.6124	62.2733	43.4329	50.7719	7.33904
1614784199	2657997	113.047	69.6141	62.2747	43.4331	50.7726	7.33942
1614784199	13206805	113.047	69.6121	62.2734	43.4348	50.7735	7.33865
1614784199	23072799	113.046	69.6137	62.2745	43.4328	50.772	7.33921
1614784199	33032338	113.044	69.6126	62.2737	43.4314	50.7703	7.33891
1614784199	42812491	113.047	69.6137	62.2748	43.4332	50.7721	7.33893
1614784199	52650867	113.046	69.6132	62.2743	43.4326	50.7714	7.33887
1614784199	62644151	113.046	69.6137	62.2746	43.432	50.7711	7.33913
1614784199	72784559	113.048	69.6136	62.2746	43.4339	50.7729	7.339
1614784199	82644394	113.046	69.6137	62.2748	43.432	50.7709	7.33889
1614784199	92690623	113.045	69.6116	62.273	43.433	50.7715	7.33854
1614784199	102761049	113.047	69.6141	62.275	43.4332	50.7723	7.33903
1614784199	112667749	113.046	69.6136	62.2747	43.4324	50.7713	7.33894
1614784199	122661590	113.046	69.6133	62.2744	43.4323	50.7713	7.33898
1614784199	132682371	113.046	69.6129	62.2738	43.4333	50.7724	7.33907
1614784199	143069454	113.046	69.6141	62.275	43.4319	50.771	7.33917
1614784199	152859821	113.045	69.6122	62.2733	43.4326	50.7715	7.33888
1614784199	163067609	113.05	69.6144	62.2754	43.4353	50.7744	7.33904
1614784199	172669485	113.048	69.6144	62.2752	43.4339	50.7731	7.33923
1614784199	182757763	113.045	69.6139	62.2747	43.4312	50.7704	7.3392
1614784199	192836419	113.046	69.6129	62.2741	43.4331	50.7719	7.33882
1614784199	202677804	113.044	69.6129	62.2742	43.4309	50.7697	7.33871
1614784199	212756857	113.047	69.6134	62.2744	43.4333	50.7723	7.33899
1614784199	222822885	113.046	69.6137	62.2746	43.4324	50.7714	7.33903
1614784199	232689067	113.047	69.6148	62.2754	43.4324	50.7718	7.33933
1614784199	242671721	113.046	69.6137	62.2747	43.4321	50.7711	7.33897
1614784199	252772024	113.046	69.6135	62.2745	43.4327	50.7717	7.33901
1614784199	262750442	113.048	69.6151	62.276	43.4328	50.7719	7.33911
1614784199	272759740	113.044	69.6131	62.2742	43.4306	50.7694	7.33884
1614784199	282777281	113.048	69.6149	62.2757	43.4332	50.7723	7.33911
1614784199	292753191	113.048	69.6145	62.2751	43.433	50.7724	7.33939
1614784199	302691909	113.046	69.613	62.274	43.4335	50.7724	7.33891
1614784199	312780582	113.047	69.616	62.2764	43.4315	50.7711	7.33961
1614784199	322714691	113.047	69.6138	62.2751	43.4332	50.7719	7.33876
1614784199	332721966	113.049	69.614	62.275	43.4346	50.7735	7.33895
1614784199	342745462	113.047	69.6132	62.2747	43.4337	50.7722	7.33849
1614784199	352653979	113.047	69.6151	62.2755	43.4316	50.7711	7.33952
1614784199	362754759	113.047	69.6144	62.2752	43.4324	50.7716	7.33918
1614784199	372789418	113.046	69.6147	62.2755	43.4313	50.7705	7.33913
1614784199	382721422	113.049	69.616	62.2765	43.4326	50.772	7.33941
1614784199	392845079	113.046	69.6151	62.2755	43.4312	50.7708	7.33961
1614784199	402636467	113.048	69.6122	62.2733	43.4354	50.7743	7.3389
1614784199	413263767	113.048	69.6147	62.2757	43.4337	50.7726	7.33894
1614784199	423107947	113.048	69.6128	62.2741	43.435	50.7737	7.33872
1614784199	433012937	113.047	69.6138	62.275	43.4332	50.772	7.33883
1614784199	443144553	113.051	69.6112	62.2725	43.4401	50.7788	7.33868
1614784199	452948185	113.048	69.6148	62.2757	43.4336	50.7726	7.33903
