time_sec	time_nanosec	q_grav_0	q_grav_1	q_grav_2	q_grav_3
1612524849	224578411	12.8792	19.2697	-35.6182	150.969
1612524849	234525191	12.3213	18.6289	-35.5923	152.361
1612524849	244551960	12.017	17.9186	-34.7257	152.518
1612524849	254615573	12.1177	17.4099	-33.8162	151.706
1612524849	264687975	11.92	16.877	-34.6486	153.047
1612524849	274677931	11.8537	16.9404	-34.278	152.752
1612524849	284493511	11.3822	16.4383	-34.6994	154.406
1612524849	294464308	11.4221	16.3832	-33.8682	153.644
1612524849	304482457	11.4605	16.1793	-34.5328	154.45
1612524849	314543200	12.0432	16.9239	-33.9645	152.315
1612524849	324535410	12.1224	16.964	-34.2312	152.4
1612524849	334825765	12.1224	16.964	-34.2312	152.4
1612524849	344507000	12.1224	16.964	-34.2312	152.4
1612524849	354758505	12.1224	16.964	-34.2312	152.4
1612524849	364765395	12.1224	16.964	-34.2312	152.4
1612524849	374829886	12.1103	17.3886	-35.2007	153.065
1612524849	384933987	12.2872	18.2007	-35.692	152.815
1612524849	394972686	12.2961	18.6386	-35.9745	152.977
1612524849	404675433	13.2448	19.9764	-34.7137	149.347
1612524849	414591537	14.1202	20.9	-34.3845	146.874
1612524849	424604473	14.274	21.4973	-36.3834	148.051
1612524849	434568317	14.4867	22.1663	-36.581	147.49
1612524849	444786429	14.4867	22.1663	-36.581	147.49
1612524849	454989988	14.2439	22.1371	-36.8186	148.272
1612524849	464630158	13.9534	21.8251	-36.476	148.841
1612524849	474902012	13.7804	21.0901	-35.7821	149.136
1612524849	484931150	14.3619	20.7486	-34.4785	147.07
1612524849	494756525	14.3083	20.4021	-35.4181	148.212
1612524849	504507632	14.282	20.3258	-35.1959	148.193
1612524849	514501499	13.5953	19.2465	-36.1339	151.227
1612524849	524849022	13.4137	18.3442	-35.4612	151.698
1612524849	534818606	13.4137	18.3442	-35.4612	151.698
1612524849	544910195	13.221	17.3039	-36.1215	153.508
1612524849	554862914	13.4637	17.0417	-35.7833	152.81
1612524849	564842707	13.8642	17.4183	-35.8325	151.582
1612524849	574562060	13.7849	18.5552	-36.4662	151.117
1612524849	584805966	13.1879	18.9892	-36.9716	152.281
1612524849	594836876	13.1545	19.2977	-36.1575	151.323
1612524849	604919341	13.0583	19.4195	-36.3069	151.554
1612524849	614502625	13.516	20.0732	-35.1786	149.096
1612524849	624499073	13.516	20.0732	-35.1786	149.096
1612524849	634609255	13.5373	20.1423	-35.2369	149.036
1612524849	644586651	13.5373	20.1423	-35.2369	149.036
1612524849	654511671	13.3875	20.423	-35.7876	149.51
